C3,fast_likelihood_quarks.yaml,fast_likelihood_leptons.yaml,likelihood_ewpt.yaml,likelihood_eeww.yaml,likelihood_lept.yaml,likelihood_rd_rds.yaml,likelihood_lfu_fccc.yaml,likelihood_lfu_fcnc.yaml,likelihood_bcpv.yaml,likelihood_bqnunu.yaml,likelihood_lfv.yaml,likelihood_zlfv.yaml,likelihood_higgs.yaml,global
-0.17755102040816326,9.000803100624125,-1.6380752363298683,-0.10579581483872502,0.0,5.202081864164043e-07,7.924570060036745,-0.06994392002032868,0.1612151194460001,0.010882005722050003,-58.60568156972007,0.0,0.0,5.45852556044224e-05,-43.32197114961628
-0.17142857142857143,8.954669326837347,-1.572874054010164,-0.10061625205356961,0.0,4.791786986091395e-07,9.010911366832026,-0.06705313849063543,0.15481550867957594,0.01041008041311553,-43.885454078561544,0.0,0.0,5.283638035535887e-05,-27.495137924794793
-0.16530612244897958,8.894494798916185,-1.5082739305248865,-0.09553686462355415,0.0,4.3814910832828957e-07,9.98779517022546,-0.06419764072704481,0.14853060096329251,0.009946089921264445,-32.005956863170134,0.0,0.0,5.108737956049936e-05,-14.63314711349075
-0.15918367346938775,8.820943140211739,-1.444274861048001,-0.09055764755789752,0.0,3.9711941524078753e-07,10.856503517010017,-0.061377138464784764,0.14235955368683584,0.009489907404125475,-22.218022028338062,0.0,0.0,4.933825322694929e-05,-3.9848858217233882
-0.15306122448979592,8.734641258988177,-1.3808768394227897,-0.0856785958681563,0.0,3.5608962001276723e-07,11.618313499938388,-0.05859134462178872,0.13630560321070284,0.009041413722022718,-14.346797021289888,0.0,0.0,4.7589001340497816e-05,4.626405919747626
-0.14693877551020407,8.636197539836985,-1.3180798581249462,-0.08089970456490292,0.0,3.1505972197809484e-07,12.274496157062641,-0.05583997329904378,0.13036923048677274,0.008600496918323763,-8.226298231985982,0.0,0.0,4.583962390825036e-05,11.368591811013474
-0.14081632653061224,8.526141148581019,-1.255883908237081,-0.07622096865872052,0.0,2.740297215808596e-07,12.826317975329996,-0.053122739780882,0.12504216703767312,0.008167051743510179,-3.6797698178672,0.0,0.0,4.409012093731235e-05,16.420715272298974
-0.1346938775510204,8.405018789606174,-1.1942889794167115,-0.07164238316077487,0.0,2.3299961848799455e-07,13.275038847880122,-0.050439360534113575,0.11934312895765764,0.00774097921948691,-0.5190500733235979,0.0,0.0,4.234049241347293e-05,19.971763522720277
-0.12857142857142856,8.27451536923013,-1.13329505986664,-0.0671639430820079,0.0,1.9196941325461125e-07,13.621914631937232,-0.047789553208971824,0.11376502309821035,0.007322186240817707,1.4538103062219214,0.0,0.0,4.059073834383753e-05,22.223119743278446
-0.12244897959183673,8.13273740278396,-1.072902136302531,-0.06278564343464055,0.0,1.5093910521457587e-07,13.868195707667986,-0.04517303663890715,0.10830907464433004,0.006910585209777054,2.4437238982696314,0.0,0.0,3.8840858735511574e-05,23.379054843997448
-0.1163265306122449,7.9813248757081965,-1.013110193924632,-0.05850747923003752,0.0,1.0990869481197763e-07,14.015126959733657,-0.042589530839507006,0.10297641595252216,0.006506093702234317,2.659067582150019,0.0,0.0,3.709085357428421e-05,23.65083192401472
-0.11020408163265305,7.927639576563934,-0.9539192163820402,-0.05432944547995433,0.0,6.88781819357942e-08,14.063947694684998,-0.0400387570099241,0.09776808495634803,0.006108634161728688,2.3075022955199724,0.0,0.0,3.534072287081358e-05,23.354714276616118
-0.10408163265306122,7.7596958143356005,-0.8953291857438899,-0.05025153719708797,0.0,2.7847566586025607e-08,14.015891728591429,-0.0375204375323932,0.09268502181247307,0.0057181336192391186,1.5908707084756148,0.0,0.0,3.3590466628652393e-05,22.481793864675183
-0.0979591836734694,7.500542915569213,-0.8373400824634984,-0.04627374939347462,0.0,-1.3183151348350464e-08,13.87218937318478,-0.03503429597205354,0.08772807148524997,0.005334523436396843,0.6990916067760491,0.0,0.0,3.18400848335898e-05,21.246270189524342
-0.09183673469387754,7.314538410921614,-0.7799518853455538,-0.04239607708194271,0.0,-5.421397197835631e-08,13.634063692240431,-0.03258005707703404,0.08289798230911138,0.004957739070091449,-0.1969420503480741,0.0,0.0,3.0089577496283937e-05,19.98461779005217
-0.08571428571428572,7.119704058655088,-0.7231645715098125,-0.03861851527426552,0.0,-9.524489485990273e-08,13.302733671448314,-0.03015744677830412,0.0781893298994003,0.004587719856610661,-0.9529468838236355,0.0,0.0,2.833894460962938e-05,18.760355606173107
-0.07959183673469389,6.91865108916636,-0.6669781163570221,-0.034941058985126006,0.0,-1.3627592010401202e-07,12.879412332568988,-0.027766192190128436,0.07361702932453795,0.004224408813688463,-1.4586896383793047,0.0,0.0,2.6588186173626127e-05,17.687556305872246
-0.07346938775510203,6.71053262656028,-0.6113924935316533,-0.03136370322642179,0.0,-1.7730704815477338e-07,12.36530917570433,-0.025406021609633456,0.06917586114387397,0.003867752458889484,-1.6443830358989828,0.0,0.0,2.483730219893232e-05,16.83636482159583
-0.0673469387755102,6.495690059221033,-0.5564076748832321,-0.027886443012480555,0.0,-2.1833827845707532e-07,11.761626142799244,-0.023076664516885614,0.06486417729729332,0.003517700643011601,-1.4850339235104144,0.0,0.0,2.308629268554796e-05,16.233316241991975
